name,Year of production,Condition,Reference number,Scope of delivery,Location,Case area(mm2),price($),Case material_Aluminum,Case material_Gold/Steel,Case material_Palladium,Case material_Platinum,Case material_Red gold,Case material_Rose gold,Case material_Silver,Case material_Steel,Case material_White gold,Case material_Yellow gold,Movement_Automatic,Movement_Manual winding,Movement_Quartz
22,2013,5,540,2,80,,115588.0,False,False,False,False,False,False,False,False,True,False,False,True,False
11,1980,1,156,0,219,,14000.0,False,False,False,False,False,False,False,False,False,True,False,False,True
18,2023,6,713,2,259,,81791.0,False,False,False,False,False,True,False,False,False,False,True,False,False
27,2010,6,553,1,247,,119500.0,False,False,False,False,False,False,False,False,True,False,True,False,False
1,2022,5,539,2,208,,61250.0,False,False,False,False,False,True,False,False,False,False,True,False,False
21,2020,6,335,2,27,,77838.0,False,False,False,False,False,False,False,False,False,True,True,False,False
2,2015,6,414,2,247,,65900.0,False,False,False,False,False,False,False,True,False,False,True,False,False
1,2015,6,638,2,247,,54838.0,False,False,False,False,False,True,False,False,False,False,True,False,False
4,2019,5,497,2,247,,105000.0,False,False,False,False,False,False,False,False,True,False,True,False,False
6,1970,5,681,2,228,,26800.0,False,False,False,False,False,True,False,False,False,False,False,True,False
25,1998,6,282,2,259,756.0,11820.0,False,False,False,False,False,False,False,True,False,False,False,False,True
18,2016,6,713,2,247,,159000.0,False,False,False,False,False,True,False,False,False,False,True,False,False
25,2004,6,274,2,259,,24387.0,False,False,False,False,False,False,False,False,True,False,False,False,True
4,2020,5,517,2,247,,74950.0,False,False,False,False,False,False,False,True,False,False,True,False,False
6,1996,6,175,3,185,1166.1999999999998,16189.0,False,False,False,False,False,False,False,False,False,True,False,True,False
12,2022,6,447,0,70,,13078.0,False,False,False,False,False,False,False,False,True,False,False,True,False
0,1920,1,800,0,96,860.0,13920.0,False,False,False,False,False,False,False,False,False,True,False,True,False
1,2024,5,591,2,47,,56569.0,False,False,False,False,False,False,False,False,True,False,True,False,False
27,2022,6,565,2,64,,77938.0,False,False,False,True,False,False,False,False,False,False,True,False,False
6,2023,5,541,2,259,,44542.0,False,False,False,False,False,True,False,False,False,False,True,False,False
1,2016,6,591,2,247,,56960.0,False,False,False,False,False,True,False,False,False,False,True,False,False
4,2021,6,312,2,195,,122842.0,False,False,False,False,False,False,False,False,True,False,True,False,False
6,2010,6,751,0,259,,12182.0,False,False,False,False,False,False,False,False,True,False,True,False,False
26,2023,1,648,0,259,1139.0,17102.0,False,False,False,False,False,False,False,False,False,True,False,True,False
18,2018,6,414,2,208,,120557.0,False,False,False,False,False,False,False,True,False,False,True,False,False
6,2022,6,435,2,228,,21000.0,False,False,False,False,False,False,False,False,True,False,True,False,False
