name,Movement,Case material,Year of production,Condition,Reference number,Scope of delivery,Location,Case area(mm2),price($)
17,0,1,2023,3,525,2,33,962.1127501618741,640297.0
6,1,2,2020,5,219,1,418,706.8583470577034,16389.0
6,1,3,2001,5,245,2,365,855.2985999398212,12583.0
0,1,7,1950,5,66,0,285,1182.3698111050544,13352.0
17,0,5,2008,5,525,2,732,1256.6370614359173,128800.0
18,0,5,2015,5,417,2,393,1017.8760197630929,18094.0
12,1,3,2013,5,433,0,242,572.5552611167398,14208.0
12,2,3,1997,5,365,1,506,1075.2100856911068,17639.0
17,0,5,2023,5,303,1,747,1288.2493375126646,19500.0
12,0,3,2020,4,575,2,824,855.2985999398212,107870.0
23,0,6,2017,3,515,2,210,1385.4423602330987,53450.0
4,2,5,2001,5,359,2,498,962.1127501618741,19487.0
6,0,3,2019,3,515,2,824,1385.4423602330987,38450.0
1,0,6,1994,5,454,2,423,1194.5906065275187,31992.0
6,1,7,2006,5,468,2,400,1075.2100856911068,20287.0
6,0,6,2024,5,490,0,242,1134.1149479459152,21285.0
6,0,7,2016,5,441,2,591,962.1127501618741,16703.0
17,0,0,1989,5,201,2,90,1385.4423602330987,118643.0
4,0,5,2022,3,547,2,568,1398.6684653047118,162122.0
6,0,6,1963,5,132,0,718,1017.8760197630929,24500.0
26,0,6,2022,5,446,0,242,1225.4174844408687,45413.0
21,1,1,2019,5,258,2,824,1182.3698111050544,155000.0
4,0,6,2019,4,463,2,702,1398.6684653047118,81950.0
17,0,5,2011,4,526,2,733,1520.0,107000.0
26,0,1,2019,5,447,2,784,1194.5906065275187,164800.0
12,0,3,2019,5,449,2,34,1938.0,37527.0
17,0,0,2021,3,552,2,626,1559.25,136849.0
6,0,3,2022,4,515,2,645,1385.4423602330987,39093.0
10,1,6,1970,5,267,0,164,314.1592653589793,8903.0
12,0,5,1925,5,427,2,791,1530.3200000000002,52500.0
26,0,7,2019,4,481,2,824,1164.1564276958677,115000.0
12,0,3,2020,5,382,0,248,1134.1149479459152,25622.0
17,0,3,1920,5,592,0,824,1017.8760197630929,94500.0
6,1,7,2019,5,468,2,242,1075.2100856911068,19751.0
6,1,7,2024,5,219,0,164,754.7676350249478,12795.0
6,0,1,2023,3,421,2,823,1134.1149479459152,93000.0
17,0,5,1991,5,221,2,178,1075.2100856911068,61803.0
17,0,3,1960,4,552,2,822,1288.2493375126646,228000.0
12,1,3,2024,5,435,2,405,1504.0,16409.0
12,0,6,2002,5,386,2,329,1256.6370614359173,15701.0
17,0,5,2021,3,532,2,361,1288.2493375126646,150331.0
12,2,7,1920,5,313,1,85,1256.6370614359173,15033.0
